x (m), Deflection y (m), Slope (rad), Moment (Nm), Shear (N)
3.780e+00,2.670e-03,1.177e-03,1.220e+03,-1.000e+03
3.790e+00,2.681e-03,1.179e-03,1.210e+03,-1.000e+03
3.800e+00,2.693e-03,1.180e-03,1.200e+03,-1.000e+03
3.810e+00,2.705e-03,1.181e-03,1.190e+03,-1.000e+03
3.820e+00,2.717e-03,1.182e-03,1.180e+03,-1.000e+03
3.830e+00,2.729e-03,1.183e-03,1.170e+03,-1.000e+03
3.840e+00,2.740e-03,1.185e-03,1.160e+03,-1.000e+03
3.850e+00,2.752e-03,1.186e-03,1.150e+03,-1.000e+03
3.860e+00,2.764e-03,1.187e-03,1.140e+03,-1.000e+03
3.870e+00,2.776e-03,1.188e-03,1.130e+03,-1.000e+03
3.880e+00,2.788e-03,1.189e-03,1.120e+03,-1.000e+03
3.890e+00,2.800e-03,1.190e-03,1.110e+03,-1.000e+03
3.900e+00,2.812e-03,1.191e-03,1.100e+03,-1.000e+03
3.910e+00,2.824e-03,1.193e-03,1.090e+03,-1.000e+03
3.920e+00,2.836e-03,1.194e-03,1.080e+03,-1.000e+03
3.930e+00,2.847e-03,1.195e-03,1.070e+03,-1.000e+03
3.940e+00,2.859e-03,1.196e-03,1.060e+03,-1.000e+03
3.950e+00,2.871e-03,1.197e-03,1.050e+03,-1.000e+03
3.960e+00,2.883e-03,1.198e-03,1.040e+03,-1.000e+03
3.970e+00,2.895e-03,1.199e-03,1.030e+03,-1.000e+03
3.980e+00,2.907e-03,1.200e-03,1.020e+03,-1.000e+03
3.990e+00,2.919e-03,1.201e-03,1.010e+03,-1.000e+03
4.000e+00,2.931e-03,1.202e-03,1.000e+03,-1.000e+03
4.010e+00,2.943e-03,1.203e-03,9.900e+02,-1.000e+03
4.020e+00,2.955e-03,1.204e-03,9.800e+02,-1.000e+03
4.030e+00,2.967e-03,1.205e-03,9.700e+02,-1.000e+03
4.040e+00,2.979e-03,1.206e-03,9.600e+02,-1.000e+03
4.050e+00,2.992e-03,1.207e-03,9.500e+02,-1.000e+03
4.060e+00,3.004e-03,1.208e-03,9.400e+02,-1.000e+03
4.070e+00,3.016e-03,1.209e-03,9.300e+02,-1.000e+03
4.080e+00,3.028e-03,1.210e-03,9.200e+02,-1.000e+03
4.090e+00,3.040e-03,1.211e-03,9.100e+02,-1.000e+03
4.100e+00,3.052e-03,1.212e-03,9.000e+02,-1.000e+03
4.110e+00,3.064e-03,1.212e-03,8.900e+02,-1.000e+03
4.120e+00,3.076e-03,1.213e-03,8.800e+02,-1.000e+03
4.130e+00,3.088e-03,1.214e-03,8.700e+02,-1.000e+03
4.140e+00,3.100e-03,1.215e-03,8.600e+02,-1.000e+03
4.150e+00,3.113e-03,1.216e-03,8.500e+02,-1.000e+03
4.160e+00,3.125e-03,1.217e-03,8.400e+02,-1.000e+03
4.170e+00,3.137e-03,1.218e-03,8.300e+02,-1.000e+03
4.180e+00,3.149e-03,1.218e-03,8.200e+02,-1.000e+03
4.190e+00,3.161e-03,1.219e-03,8.100e+02,-1.000e+03
4.200e+00,3.174e-03,1.220e-03,8.000e+02,-1.000e+03
4.210e+00,3.186e-03,1.221e-03,7.900e+02,-1.000e+03
4.220e+00,3.198e-03,1.222e-03,7.800e+02,-1.000e+03
4.230e+00,3.210e-03,1.222e-03,7.700e+02,-1.000e+03
4.240e+00,3.222e-03,1.223e-03,7.600e+02,-1.000e+03
4.250e+00,3.235e-03,1.224e-03,7.500e+02,-1.000e+03
4.260e+00,3.247e-03,1.225e-03,7.400e+02,-1.000e+03
4.270e+00,3.259e-03,1.225e-03,7.300e+02,-1.000e+03
4.280e+00,3.271e-03,1.226e-03,7.200e+02,-1.000e+03
4.290e+00,3.284e-03,1.227e-03,7.100e+02,-1.000e+03
4.300e+00,3.296e-03,1.228e-03,7.000e+02,-1.000e+03
4.310e+00,3.308e-03,1.228e-03,6.900e+02,-1.000e+03
4.320e+00,3.320e-03,1.229e-03,6.800e+02,-1.000e+03
4.330e+00,3.333e-03,1.230e-03,6.700e+02,-1.000e+03
4.340e+00,3.345e-03,1.230e-03,6.600e+02,-1.000e+03
4.350e+00,3.357e-03,1.231e-03,6.500e+02,-1.000e+03
4.360e+00,3.370e-03,1.232e-03,6.400e+02,-1.000e+03
4.370e+00,3.382e-03,1.232e-03,6.300e+02,-1.000e+03
4.380e+00,3.394e-03,1.233e-03,6.200e+02,-1.000e+03
4.390e+00,3.407e-03,1.234e-03,6.100e+02,-1.000e+03
4.400e+00,3.419e-03,1.234e-03,6.000e+02,-1.000e+03
4.410e+00,3.431e-03,1.235e-03,5.900e+02,-1.000e+03
4.420e+00,3.444e-03,1.235e-03,5.800e+02,-1.000e+03
4.430e+00,3.456e-03,1.236e-03,5.700e+02,-1.000e+03
4.440e+00,3.468e-03,1.237e-03,5.600e+02,-1.000e+03
4.450e+00,3.481e-03,1.237e-03,5.500e+02,-1.000e+03
4.460e+00,3.493e-03,1.238e-03,5.400e+02,-1.000e+03
4.470e+00,3.505e-03,1.238e-03,5.300e+02,-1.000e+03
4.480e+00,3.518e-03,1.239e-03,5.200e+02,-1.000e+03
4.490e+00,3.530e-03,1.239e-03,5.100e+02,-1.000e+03
4.500e+00,3.543e-03,1.240e-03,5.000e+02,-1.000e+03
4.510e+00,3.555e-03,1.240e-03,4.900e+02,-1.000e+03
4.520e+00,3.567e-03,1.241e-03,4.800e+02,-1.000e+03
4.530e+00,3.580e-03,1.241e-03,4.700e+02,-1.000e+03
4.540e+00,3.592e-03,1.242e-03,4.600e+02,-1.000e+03
4.550e+00,3.605e-03,1.242e-03,4.500e+02,-1.000e+03
4.560e+00,3.617e-03,1.243e-03,4.400e+02,-1.000e+03
4.570e+00,3.629e-03,1.243e-03,4.300e+02,-1.000e+03
4.580e+00,3.642e-03,1.243e-03,4.200e+02,-1.000e+03
4.590e+00,3.654e-03,1.244e-03,4.100e+02,-1.000e+03
4.600e+00,3.667e-03,1.244e-03,4.000e+02,-1.000e+03
4.610e+00,3.679e-03,1.245e-03,3.900e+02,-1.000e+03
4.620e+00,3.692e-03,1.245e-03,3.800e+02,-1.000e+03
4.630e+00,3.704e-03,1.245e-03,3.700e+02,-1.000e+03
4.640e+00,3.717e-03,1.246e-03,3.600e+02,-1.000e+03
4.650e+00,3.729e-03,1.246e-03,3.500e+02,-1.000e+03
4.660e+00,3.742e-03,1.247e-03,3.400e+02,-1.000e+03
4.670e+00,3.754e-03,1.247e-03,3.300e+02,-1.000e+03
4.680e+00,3.766e-03,1.247e-03,3.200e+02,-1.000e+03
4.690e+00,3.779e-03,1.248e-03,3.100e+02,-1.000e+03
4.700e+00,3.791e-03,1.248e-03,3.000e+02,-1.000e+03
4.710e+00,3.804e-03,1.248e-03,2.900e+02,-1.000e+03
4.720e+00,3.816e-03,1.248e-03,2.800e+02,-1.000e+03
4.730e+00,3.829e-03,1.249e-03,2.700e+02,-1.000e+03
4.740e+00,3.841e-03,1.249e-03,2.600e+02,-1.000e+03
4.750e+00,3.854e-03,1.249e-03,2.500e+02,-1.000e+03
4.760e+00,3.866e-03,1.250e-03,2.400e+02,-1.000e+03
4.770e+00,3.879e-03,1.250e-03,2.300e+02,-1.000e+03
4.780e+00,3.891e-03,1.250e-03,2.200e+02,-1.000e+03
4.790e+00,3.904e-03,1.250e-03,2.100e+02,-1.000e+03
4.800e+00,3.916e-03,1.250e-03,2.000e+02,-1.000e+03
4.810e+00,3.929e-03,1.251e-03,1.900e+02,-1.000e+03
4.820e+00,3.941e-03,1.251e-03,1.800e+02,-1.000e+03
4.830e+00,3.954e-03,1.251e-03,1.700e+02,-1.000e+03
4.840e+00,3.966e-03,1.251e-03,1.600e+02,-1.000e+03
4.850e+00,3.979e-03,1.251e-03,1.500e+02,-1.000e+03
4.860e+00,3.991e-03,1.251e-03,1.400e+02,-1.000e+03
4.870e+00,4.004e-03,1.252e-03,1.300e+02,-1.000e+03
4.880e+00,4.016e-03,1.252e-03,1.200e+02,-1.000e+03
4.890e+00,4.029e-03,1.252e-03,1.100e+02,-1.000e+03
4.900e+00,4.041e-03,1.252e-03,1.000e+02,-1.000e+03
4.910e+00,4.054e-03,1.252e-03,9.000e+01,-1.000e+03
4.920e+00,4.066e-03,1.252e-03,8.000e+01,-1.000e+03
4.930e+00,4.079e-03,1.252e-03,7.000e+01,-1.000e+03
4.940e+00,4.092e-03,1.252e-03,6.000e+01,-1.000e+03
4.950e+00,4.104e-03,1.252e-03,5.000e+01,-1.000e+03
4.960e+00,4.117e-03,1.252e-03,4.000e+01,-1.000e+03
4.970e+00,4.129e-03,1.252e-03,3.000e+01,-1.000e+03
4.980e+00,4.142e-03,1.252e-03,2.000e+01,-1.000e+03
4.990e+00,4.154e-03,1.252e-03,1.000e+01,-1.000e+03
5.000e+00,4.167e-03,1.253e-03,0.000e+00,-1.000e+03
